State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,
FL,,2,604,40,20064,SEROMYCIN ,,,,,,,,,215,7,764.55,0,0,
FL,,2,1032,2,20064,PHENOBARBI,,,,,,,,,60,1,6.51,0,0,
FL,,2,1032,4,20064,PHENOBARBI,,,,,,,,,62,1,5.4,0,0,
FL,,2,1037,4,20064,PHENOBARBI,,,,,,,,,300,5,29.79,0,0,
FL,,2,2549,2,20064,MORPHINE S,,,,,,,,,4,4,1.04,0,0,
FL,,2,3004,75,20064,PROZAC WEE,,,,,,,,,8,2,103.12,0,0,
FL,,2,3125,42,20064,VANCOCIN H,,,,,,,,,52,1,715.14,0,0,
FL,,2,3126,42,20064,VANCOCIN H,,,,,,,,,451,17,7229.01,7229.01,0,
FL,,2,3227,30,20064,STRATTERA ,,,,,,,,,13308,362,50760.77,49028.13,1732.64,
FL,,2,3228,30,20064,STRATTERA ,,,,,,,,,42920,1230,163763.03,155597.2,8165.83,
FL,,2,3229,30,20064,STRATTERA ,,,,,,,,,87184,2313,359573.64,341398.34,18175.3,
FL,,2,3231,30,20064,SYMBYAX 6-,,,,,,,,,140,5,1175.28,0,0,
FL,,2,3231,33,20064,SYMBYAX 6-,,,,,,,,,45,2,380.12,0,0,
FL,,2,3232,33,20064,SYMBYAX 12,,,,,,,,,30,1,377.32,0,0,
FL,,2,3233,30,20064,SYMBYAX 6-,,,,,,,,,36,3,310.02,0,0,
FL,,2,3234,30,20064,SYMBYAX 12,,,,,,,,,60,2,754.64,0,0,
FL,,2,3235,60,20064,CYMBALTA 2,,,,,,,,,1852,40,5127.19,0,0,
FL,,2,3237,30,20064,CYMBALTA 6,,,,,,,,,12434,411,44006.61,40524.43,3482.18,
FL,,2,3237,33,20064,CYMBALTA 6,,,,,,,,,186,8,563.9,0,0,
FL,,2,3238,30,20064,STRATTERA ,,,,,,,,,19412,547,74038.25,72495,1543.25,
FL,,2,3239,30,20064,STRATTERA ,,,,,,,,,41680,1271,172508.55,164953.46,7555.09,
FL,,2,3240,30,20064,CYMBALTA 3,,,,,,,,,5927,170,20214.24,0,0,
FL,,2,3240,33,20064,CYMBALTA 3,,,,,,,,,42,4,159.18,0,0,
FL,,2,3250,30,20064,STRATTERA ,,,,,,,,,4621,154,20146.49,20146.49,0,
FL,,2,3251,30,20064,STRATTERA ,,,,,,,,,884,30,3636.56,0,0,
FL,,2,4112,4,20064,ZYPREXA 2.,,,,,,,,,876,31,5100,2772.53,2327.47,
FL,,2,4112,30,20064,ZYPREXA 2.,,,,,,,,,10742,363,64093.09,60483.79,3609.3,
FL,,2,4112,33,20064,ZYPREXA 2.,,,,,,,,,929,39,5300.15,3721.69,1578.46,
FL,,2,4112,60,20064,ZYPREXA 2.,,,,,,,,,3290,111,18381.42,15120.85,3260.57,
FL,,2,4115,4,20064,ZYPREXA 5 ,,,,,,,,,2478,88,17306.49,14231.85,3074.64,
FL,,2,4115,30,20064,ZYPREXA 5 ,,,,,,,,,27102,918,190290.87,183758.59,6532.28,
FL,,2,4115,33,20064,ZYPREXA 5 ,,,,,,,,,1568,61,10894.43,8446.5,2447.93,
FL,,2,4115,60,20064,ZYPREXA 5 ,,,,,,,,,6786,230,35060.88,35060.88,0,
FL,,2,4116,30,20064,ZYPREXA 7.,,,,,,,,,5469,187,46535.2,42665.95,3869.25,
FL,,2,4116,33,20064,ZYPREXA 7.,,,,,,,,,411,14,3425.18,0,0,
FL,,2,4116,60,20064,ZYPREXA 7.,,,,,,,,,864,29,6350.4,0,0,
FL,,2,4117,4,20064,ZYPREXA 10,,,,,,,,,646,22,4671.05,0,0,
FL,,2,4117,30,20064,ZYPREXA 10,,,,,,,,,46764,1580,491382.17,486297.2,5084.97,
FL,,2,4117,33,20064,ZYPREXA 10,,,,,,,,,1572,53,14495.26,0,0,
FL,,2,4117,60,20064,ZYPREXA 10,,,,,,,,,11557,391,103048.32,103048.32,0,
FL,,2,4165,2,20064,EVISTA 60 ,,,,,,,,,600,20,963.48,0,0,
FL,,2,4165,30,20064,EVISTA 60 ,,,,,,,,,1176,41,3383.25,0,0,
FL,,2,4415,4,20064,ZYPREXA 15,,,,,,,,,120,2,1873.9,0,0,
FL,,2,4415,30,20064,ZYPREXA 15,,,,,,,,,62691,1538,979854.1,966057.07,13797.03,
FL,,2,4415,33,20064,ZYPREXA 15,,,,,,,,,2019,52,28924.02,0,0,
FL,,2,4415,60,20064,ZYPREXA 15,,,,,,,,,16306,372,239005.97,227493.58,11512.39,
FL,,2,4420,4,20064,ZYPREXA 20,,,,,,,,,46,2,960.93,0,0,
FL,,2,4420,30,20064,ZYPREXA 20,,,,,,,,,72997,2433,1520420.75,1507594.64,12826.11,
FL,,2,4420,33,20064,ZYPREXA 20,,,,,,,,,1084,36,22520.15,0,0,
FL,,2,4420,60,20064,ZYPREXA 20,,,,,,,,,14889,495,290603.09,270178.2,20424.89,
FL,,2,4453,1,20064,ZYPREXA ZY,,,,,,,,,240,8,1084.17,0,0,
FL,,2,4453,85,20064,ZYPREXA ZY,,,,,,,,,2920,102,23249.55,17891.96,5357.59,
FL,,2,4454,1,20064,ZYPREXA ZY,,,,,,,,,30,1,346.23,0,0,
FL,,2,4454,85,20064,ZYPREXA ZY,,,,,,,,,2915,104,32468.12,32468.12,0,
FL,,2,4455,1,20064,ZYPREXA ZY,,,,,,,,,150,5,1585.52,0,0,
FL,,2,4455,85,20064,ZYPREXA ZY,,,,,,,,,7058,169,113907.26,0,0,
FL,,2,4456,1,20064,ZYPREXA ZY,,,,,,,,,150,5,3282.5,0,0,
FL,,2,4456,85,20064,ZYPREXA ZY,,,,,,,,,4172,137,90659.08,90659.08,0,
FL,,2,7140,1,20064,REOPRO 2 M,,,,,,,,,5,1,6.4,0,0,
FL,,2,7501,1,20064,GEMZAR 200,,,,,,,,,67,6,8594.27,0,0,
FL,,2,7502,1,20064,GEMZAR 1 G,,,,,,,,,1113.2,599,372560.41,0,0,
FL,,2,7510,1,20064,HUMALOG 10,,,,,,,,,1250,78,8344.41,0,0,
FL,,2,7511,1,20064,HUMALOG MI,,,,,,,,,560,27,4014.15,0,0,
FL,,2,7597,1,20064,ZYPREXA 10,,,,,,,,,59,11,1339.91,0,0,
FL,,2,7623,1,20064,ALIMTA 500,,,,,,,,,135.4,69,201580.53,0,0,
FL,,2,8031,1,20064,GLUCAGON 1,,,,,,,,,746,746,65240.4,63328.27,1912.13,
FL,,2,8147,1,20064,HUMATROPE ,,,,,,,,,15,3,4739.73,0,0,
FL,,2,8148,1,20064,HUMATROPE ,,,,,,,,,30,9,18946.17,0,0,
FL,,2,8149,1,20064,HUMATROPE ,,,,,,,,,10,5,12626.55,0,0,
FL,,2,8215,1,20064,HUMULIN R ,,,,,,,,,170,17,607.46,0,0,
FL,,2,8315,1,20064,HUMULIN N ,,,,,,,,,440,26,1507.16,0,0,
FL,,2,8501,1,20064,HUMULIN R ,,,,,,,,,120,4,1130.89,0,0,
FL,,2,8715,1,20064,HUMULIN 70,,,,,,,,,710,32,2329.59,2329.59,0,
FL,,2,8725,59,20064,HUMALOG 10,,,,,,,,,90,6,871.71,0,0,
FL,,2,8793,59,20064,HUMALOG MI,,,,,,,,,60,2,582.9,0,0,
FL,,2,8794,59,20064,HUMALOG MI,,,,,,,,,315,9,3053.88,0,0,
FL,,2,8971,1,20064,FORTEO 750,,,,,,,,,252.76,99,37540.25,36361.47,1178.78,
FL,,2,9515,1,20064,HUMULIN 50,,,,,,,,,190,10,624.18,0,0,
FL,,3,101,60,20064,TRIMOX 250,,,,,,,,,202,6,30.88,0,0,
FL,,3,109,60,20064,TRIMOX 500,,,,,,,,,173,10,57.57,0,0,
FL,,3,122,60,20064,PRINCIPEN ,,,,,,,,,40,1,9.67,0,0,
FL,,3,134,50,20064,PRINCIPEN ,,,,,,,,,156,6,58.21,0,0,
FL,,3,249,15,20064,HALOG 0.1%,,,,,,,,,20,1,29.25,0,0,
FL,,3,249,20,20064,HALOG 0.1%,,,,,,,,,60,1,43.23,0,0,
FL,,3,293,5,20064,KENALOG-40,,,,,,,,,144,54,490.02,0,0,
FL,,3,293,20,20064,KENALOG-40,,,,,,,,,10,1,22.39,0,0,
FL,,3,293,28,20064,KENALOG-40,,,,,,,,,235,28,541.43,541.43,0,
FL,,3,487,75,20064,LORAZEPAM ,,,,,,,,,180,3,16.8,0,0,
FL,,3,494,20,20064,KENALOG-10,,,,,,,,,205,8,368.9,0,0,
FL,,3,496,20,20064,KENALOG-OR,,,,,,,,,5,1,19.2,0,0,
FL,,3,501,62,20064,KENALOG AE,,,,,,,,,693,11,343.02,0,0,
FL,,3,524,11,20064,SPRYCEL 70,,,,,,,,,240,4,16501.24,16501.24,0,
FL,,3,528,11,20064,SPRYCEL 50,,,,,,,,,120,2,7482.88,0,0,
FL,,3,566,60,20064,MYCOLOG II,,,,,,,,,120,1,8,0,0,
FL,,3,579,31,20064,MYCOSTATIN,,,,,,,,,60,2,12.28,0,0,
FL,,3,588,10,20064,MYCOSTATIN,,,,,,,,,180,2,71.76,0,0,
FL,,3,588,50,20064,MYCOSTATIN,,,,,,,,,60,1,6.81,0,0,
FL,,3,593,20,20064,MYCOSTATIN,,,,,,,,,135,3,58.84,0,0,
FL,,3,682,44,20064,VEETIDS 25,,,,,,,,,700,4,28.33,0,0,
FL,,3,682,54,20064,VEETIDS 25,,,,,,,,,200,1,7.49,0,0,
FL,,3,749,60,20064,CEPHALEXIN,,,,,,,,,90,3,35.31,0,0,
FL,,3,815,50,20064,SUMYCIN 12,,,,,,,,,753,2,109.25,0,0,
FL,,3,830,50,20064,HYDREA 500,,,,,,,,,62,1,31.99,0,0,
FL,,3,845,50,20064,ALLOPURINO,,,,,,,,,74,3,15.55,0,0,
FL,,3,874,50,20064,CEPHALEXIN,,,,,,,,,41,2,14.47,0,0,
FL,,3,874,60,20064,CEPHALEXIN,,,,,,,,,30,1,17.57,0,0,
FL,,3,972,52,20064,PRINCIPEN ,,,,,,,,,400,2,31.59,0,0,
FL,,3,972,61,20064,PRINCIPEN ,,,,,,,,,200,1,15.59,0,0,
FL,,3,1201,10,20064,SULFAMETHO,,,,,,,,,1200,5,53.49,0,0,
FL,,3,1482,15,20064,HALOG 0.1%,,,,,,,,,90,3,139.53,0,0,
FL,,3,1482,20,20064,HALOG 0.1%,,,,,,,,,435,15,556.01,0,0,
FL,,3,1482,30,20064,HALOG 0.1%,,,,,,,,,1380,17,1400.39,1373.4,26.99,
FL,,3,1494,31,20064,HALOG-E 0.,,,,,,,,,60,1,59.77,0,0,
